Date,AT,BE,CY,FI,FR,DE,GR,IE,IT,LT,MT,NL,PT,SK,SI,ES
2000,1449000000.0,15856999999.999998,7999999.999999999,10390999999.999998,18472999999.999996,25383999999.999996,3939999999.9999995,7019999999.999999,42426999999.99999,-383999999.99999994,-62999999.99999999,17530000000.0,-1120999999.9999998,-2835999999.9999995,-15999999.999999998,11356999999.999998
2001,4490000000.0,16332999999.999996,-51999999.99999999,7744999999.999999,18707000000.0,-8650000000.0,1247000000.0,2491999999.9999995,31218999999.999996,-364999999.99999994,-108999999.99999999,8641999999.999998,-3096999999.9999995,-1177999999.9999998,4999999.999999999,13999999999.999998
2002,1231999999.9999998,14781999999.999998,-229999999.99999997,5887999999.999999,-8676999999.999998,-26834999999.999996,-743999999.9999999,840999999.9999999,29996999999.999996,-133999999.99999999,-71999999.99999999,-188999999.99999997,-1796999999.9999998,-1930999999.9999998,-21000000.0,14107999999.999998
2003,2813999999.9999995,8942999999.999998,-418999999.99999994,3436999999.9999995,-24623000000.0,-23444999999.999996,-5248000000.0,2115000000.0,19809000000.0,-57999999.99999999,-264999999.99999997,-6113999999.999999,-2954000000.0,-455999999.99999994,-2999999.9999999995,13521999999.999998
2004,-6254999999.999999,12817999999.999998,-190999999.99999997,3309999999.9999995,-18400999999.999996,-17800999999.999996,-7831999999.999999,3558999999.9999995,13998999999.999998,-142999999.99999997,-34000000.0,182999999.99999997,-5847000000.0,-421999999.99999994,-17999999.999999996,15024999999.999998
2005,-447999999.99999994,3927999999.9999995,64999999.99999999,4190000000.0,-16187999999.999996,-19435999999.999996,-2975999999.9999995,4167999999.9999995,3378999999.9999995,27999999.999999996,58999999.99999999,7355999999.999999,-6251999999.999999,-904999999.9999999,29999999.999999996,25385000000.0
2006,-632999999.9999999,12928000000.0,211999999.99999997,6444999999.999999,-1147000000.0,17920000000.0,-3330999999.9999995,6533000000.0,11130000000.0,27999999.999999996,63999999.99999999,9519999999.999998,-2903999999.9999995,-1527999999.9999998,91999999.99999999,35070999999.99999
2007,2305000000.0,12573999999.999998,940999999.9999999,8935999999.999998,-3060999999.9999995,66809999999.99999,-5137999999.999999,1793999999.9999998,49489999999.99999,-149999999.99999997,76999999.99999999,8230999999.999999,-816999999.9999999,-643999999.9999999,417999999.99999994,32603999999.999996
2008,2041999999.9999995,8470999999.999999,589999999.9999999,7071999999.999999,-12245999999.999998,56533999999.99999,-12971999999.999998,-11817999999.999998,33862999999.999996,-904999999.9999999,-50999999.99999999,10650000000.0,-1886999999.9999998,-1064999999.9999998,176999999.99999997,-37694999999.99999
2009,-9102999999.999998,-6878999999.999999,-639999999.9999999,-5244999999.999999,-95663999999.99998,-18693000000.0,-23993999999.999996,-21021999999.999996,-16193000000.0,-2382999999.9999995,1999999.9999999998,-23277999999.999996,-12461999999.999998,-4306000000.0,-1646999999.9999998,-103769000000.0
2010,-6770999999.999999,-2729000000.0,-623999999.9999999,-4762999999.999999,-91912000000.0,-57410999999.99999,-12069999999.999998,-49825999999.99999,-1346999999.9999998,-1461000000.0,45999999.99999999,-25026999999.999996,-15231999999.999998,-4301000000.0,-1461000000.0,-84650000000.0
2011,-1372999999.9999998,-3767999999.9999995,-807000000.0,-2007999999.9999998,-55221999999.99999,30911999999.999996,-6203999999.999999,-17475000000.0,12888999999.999998,-2475000000.0,51999999.99999999,-19425999999.999996,-6272999999.999999,-2079000000.0,-1538999999.9999998,-82097999999.99998
2012,-70000000.0,-3930999999.9999995,-567999999.9999999,-3921999999.9999995,-53229999999.99999,51082999999.99999,-2789999999.9999995,-8422000000.0,33628999999.999992,-586999999.9999999,-35000000.0,-16589999999.999998,-2319999999.9999995,-2019999999.9999998,-518999999.99999994,-82805000000.0
2013,614999999.9999999,-829999999.9999999,-339000000.0,-5144999999.999999,-40517000000.0,41966999999.99999,731999999.9999999,-4664999999.999999,27777999999.999996,-495999999.99999994,34000000.0,-10291000000.0,-1104999999.9999998,-785999999.9999999,-4182999999.9999995,-41478999999.99999
2014,-2495000000.0,-848999999.9999999,488999999.99999994,-6161999999.999999,-39765999999.99999,53311999999.99999,-300999999.99999994,-499999999.99999994,22025999999.999996,195999999.99999997,82000000.0,-5554999999.999999,-4751999999.999999,-804000000.0,-1069999999.9999999,-30835999999.999996
2015,2944999999.9999995,1229000000.0,436999999.99999994,-5393999999.999999,-38472999999.99999,61834999999.99999,1282999999.9999998,1159000000.0,22077000000.0,284999999.99999994,123999999.99999999,-5658999999.999999,-76999999.99999999,-874999999.9999999,-216999999.99999997,-27828999999.999996
2016,354999999.99999994,447999999.99999994,515999999.99999994,-3279999999.9999995,-40136999999.99999,66802999999.99999,6550999999.999999,4110999999.999999,20787999999.999996,423999999.99999994,306999999.99999994,8058999999.999998,3635999999.9999995,-694999999.9999999,426999999.99999994,-21704999999.999996
2017,2785000000.0,5885999999.999999,821999999.9999999,-1316000000.0,-25981999999.999996,67519000000.0,7534999999.999999,4842999999.999999,21330999999.999996,430999999.99999994,591999999.9999999,16515999999.999996,1352999999.9999998,312999999.99999994,648000000.0,-8650000000.0
2018,5296000000.0,5653999999.999999,-499999999.99999994,-1356999999.9999998,-21351999999.999996,85972999999.99998,7927999999.999999,5150999999.999999,24496999999.999996,275000000.0,438999999.99999994,18248000000.0,5757999999.999999,363999999.99999994,1381999999.9999998,-2553999999.9999995
2019,4682000000.0,2277000000.0,1273999999.9999998,-1265999999.9999998,-44402999999.99999,60384999999.99999,6275000000.0,4986999999.999999,24877999999.999996,153999999.99999997,256999999.99999997,15268999999.999998,6140999999.999999,307999999.99999994,996999999.9999999,-14999999.999999998
